,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
4165,ORLANDO INTL,B-737-200,None,9/4/96 0:00,BUSINESS,Florida,Climb,Large,Unknown bird - large,Night,0,0,0,210.0
4166,DALLAS/FORT WORTH INTL ARPT,B-757-200,None,9/4/96 0:00,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,100.0
4167,DALLAS/FORT WORTH INTL ARPT,DC-9,None,9/4/96 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
4168,LOS ANGELES INTL,B-747,Medium,9/4/96 0:00,UNITED AIRLINES,California,Take-off run,Small,Rock pigeon,Day,0,0,0,
4169,DENVER INTL AIRPORT,B-737,None,9/4/96 0:00,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Day,0,0,0,
4170,KANSAS CITY INTL,B-737,None,9/4/96 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
4171,BARKSDALE AIR FORCE BASE ARPT,B-52H,None,9/5/96 0:00,MILITARY,Louisiana,Climb,Small,Eastern meadowlark,Day,0,0,0,160.0
4172,LOGAN INTL,B-737-200,None,9/6/96 0:00,US AIRWAYS*,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,133.0
4173,INDIANAPOLIS INTL,A-320,None,9/7/96 0:00,AMERICA WEST AIRLINES,Indiana,Approach,Large,Unknown bird - large,Night,0,0,0,132.0
4174,NEWARK LIBERTY INTL ARPT,A-320,None,9/7/96 0:00,UNITED AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,
4175,KANSAS CITY INTL,B-727-200,None,9/7/96 0:00,AMERICAN AIRLINES,Missouri,Climb,Medium,Unknown bird - medium,Day,0,0,0,
4176,MINETA SAN JOSE INTL,C-150,None,9/8/96 0:00,PRIVATELY OWNED,California,Approach,Large,Unknown bird - large,Night,0,0,0,80.0
4177,METRO OAKLAND INTL,B-737-300,None,9/9/96 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,
4178,NEWARK LIBERTY INTL ARPT,MD-82,None,9/9/96 0:00,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
4179,CHARLESTON AFB/INTL ARPT,C-17A,None,9/9/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,230.0
4180,LAGUARDIA NY,DC-9,None,9/10/96 0:00,AIR CANADA,New York,Climb,Large,Unknown bird - large,Day,0,0,0,140.0
4181,NASHVILLE INTL,B-757-200,Minor,9/10/96 0:00,AMERICAN AIRLINES,Tennessee,Descent,Medium,Unknown bird - medium,Day,0,0,0,170.0
4182,MINNEAPOLIS-ST PAUL INTL,C-130E,None,9/10/96 0:00,MILITARY,Minnesota,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
4183,ATLANTA INTL,MD-88,None,9/10/96 0:00,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
4184,LOS ANGELES INTL,DC-9,None,9/10/96 0:00,AIR CANADA,California,Landing Roll,Small,Rock pigeon,Day,0,0,0,100.0
4185,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,9/10/96 0:00,COMAIR AIRLINES,Kentucky,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
4186,NEWARK LIBERTY INTL ARPT,FOKKER F100,None,9/10/96 0:00,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
4187,SAN ANTONIO INTL,B-737-300,Substantial,9/11/96 0:00,US AIRWAYS*,Texas,Take-off run,Large,Unknown bird - large,Day,0,0,0,160.0
4188,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,9/11/96 0:00,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
4189,CHARLESTON AFB/INTL ARPT,C-17A,None,9/11/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,6443,6443,200.0
4190,HOUSTON-HOBBY,B-737-300,None,9/11/96 0:00,SOUTHWEST AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,210.0
4191,DALLAS/FORT WORTH INTL ARPT,MD-83,None,9/11/96 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Day,0,0,0,
4192,KANSAS CITY INTL,B-737-300,None,9/11/96 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,135.0
4193,LAMBERT-ST LOUIS INTL,DC-9-30,Minor,9/12/96 0:00,TRANS WORLD AIRLINES,Missouri,Climb,Large,Canada goose,Dusk,0,0,0,200.0
4194,LAMBERT-ST LOUIS INTL,B-737-200,None,9/12/96 0:00,SOUTHWEST AIRLINES,Missouri,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120.0
4195,CHICAGO O'HARE INTL ARPT,BA-146,None,9/12/96 0:00,AIR WISCONSIN AIRLINES,Illinois,Landing Roll,Medium,Unknown bird - medium,Dusk,0,0,0,80.0
4196,JOHN F KENNEDY INTL,B-727,None,9/12/96 0:00,TRANS WORLD AIRLINES,New York,Landing Roll,Small,American kestrel,Day,0,0,0,
4197,NASHVILLE INTL,LEARJET-24,None,9/12/96 0:00,BUSINESS,Tennessee,Landing Roll,Small,Killdeer,Day,0,0,0,100.0
4198,DALLAS/FORT WORTH INTL ARPT,MD-82,None,9/12/96 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,125.0
4199,PORT COLUMBUS INTL,FOKKER F100,None,9/12/96 0:00,AMERICAN AIRLINES,Ohio,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
4200,NEWARK LIBERTY INTL ARPT,A-300,None,9/13/96 0:00,AMERICAN AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,
4201,LOUISVILLE INTL ARPT,MD-88,None,9/14/96 0:00,DELTA AIR LINES,Kentucky,Landing Roll,Medium,Unknown bird - medium,Dusk,0,0,0,128.0
4202,LOUISVILLE INTL ARPT,B-737,None,9/14/96 0:00,UNITED AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,120.0
4203,WASHINGTON DULLES INTL ARPT,B-737,None,9/15/96 0:00,US AIRWAYS*,DC,Climb,Large,Unknown bird - large,Day,0,0,0,
4204,CHARLESTON AFB/INTL ARPT,EC-135E,None,9/15/96 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0
4205,CHICAGO O'HARE INTL ARPT,B-757-200,None,9/15/96 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,European starling,Day,0,0,0,132.0
4206,LIHUE ARPT,B-737-200,None,9/15/96 0:00,ALOHA AIRLINES,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,165.0
4207,ATLANTIC CITY INTL,DC-9-30,None,9/15/96 0:00,SPIRIT AIRLINES,New Jersey,Landing Roll,Small,American kestrel,Day,0,0,0,
4208,RONALD REAGAN WASHINGTON NATL,B-737-200,None,9/15/96 0:00,US AIRWAYS*,DC,Climb,Small,Unknown bird - small,Dusk,0,0,0,170.0
4209,CHICAGO O'HARE INTL ARPT,MD-82,None,9/15/96 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
4210,SACRAMENTO INTL,B-737-500,None,9/16/96 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,
4211,GREATER PITTSBURGH,FOKKER F28 MK 4000,None,9/17/96 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,190.0
4212,LAGUARDIA NY,MD-82,None,9/18/96 0:00,US AIRWAYS*,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,220.0
4213,CHARLESTON AFB/INTL ARPT,C-17A,None,9/18/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,130.0
4214,PHILADELPHIA INTL,FOKKER F100,Minor,9/19/96 0:00,AMERICAN AIRLINES,Pennsylvania,Descent,Large,Unknown bird - large,Night,0,0,0,250.0
4215,CHICAGO O'HARE INTL ARPT,MD-80,None,9/19/96 0:00,AMERICAN AIRLINES,Illinois,Approach,Large,Unknown bird - large,Night,0,0,0,150.0
4216,AUSTIN-BERGSTROM INTL,MD-80,None,9/19/96 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
4217,SALT LAKE CITY INTL,B-737-300,None,9/19/96 0:00,SOUTHWEST AIRLINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,100.0
4218,CHICAGO O'HARE INTL ARPT,MD-80,None,9/19/96 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,140.0
4219,CHARLOTTE/DOUGLAS INTL ARPT,C-130H,None,9/19/96 0:00,MILITARY,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
4220,NEWARK LIBERTY INTL ARPT,BA-41 JETSTR,None,9/19/96 0:00,ATLANTIC COAST AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
4221,NEWARK LIBERTY INTL ARPT,MD-82,None,9/19/96 0:00,AMERICAN AIRLINES,New Jersey,Climb,Small,Unknown bird - small,Day,0,0,0,
4222,SALT LAKE CITY INTL,L-1011,None,9/19/96 0:00,DELTA AIR LINES,Utah,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,140.0
4223,LAGUARDIA NY,B-737-300,None,9/19/96 0:00,US AIRWAYS*,New York,Climb,Small,Unknown bird - small,Night,0,0,0,175.0
4224,SALT LAKE CITY INTL,EMB-120,None,9/20/96 0:00,SKYWEST AIRLINES,Utah,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
4225,NEWARK LIBERTY INTL ARPT,BA-41 JETSTR,None,9/20/96 0:00,ATLANTIC COAST AIRLINES,New Jersey,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
4226,SAN ANTONIO INTL,B-727,None,9/20/96 0:00,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,
4227,NASHVILLE INTL,B-737-300,None,9/20/96 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,220.0
4228,JOHN F KENNEDY INTL,SAAB-340,None,9/20/96 0:00,AMERICAN EAGLE AIRLINES,New York,Take-off run,Small,American kestrel,Day,0,0,0,
4229,SALT LAKE CITY INTL,B-727-200,Medium,9/21/96 0:00,DELTA AIR LINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,
4230,LAGUARDIA NY,FOKKER F100,None,9/21/96 0:00,AMERICAN AIRLINES,New York,Climb,Medium,Unknown bird - medium,Night,0,0,0,200.0
4231,AUSTIN-BERGSTROM INTL,FOKKER F100,None,9/21/96 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
4232,SALT LAKE CITY INTL,B-727-200,Minor,9/22/96 0:00,DELTA AIR LINES,Utah,Climb,Large,Unknown bird - large,Night,0,0,0,250.0
4233,LAMBERT-ST LOUIS INTL,CL-RJ100/200,None,9/22/96 0:00,AIR CANADA,Missouri,Approach,Medium,Unknown bird - medium,Day,0,0,0,150.0
4234,LIHUE ARPT,B-737-200,None,9/22/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Barn owl,Dawn,0,0,0,
4235,HONOLULU INTL ARPT,DC-9,None,9/22/96 0:00,HAWAIIAN AIR,Hawaii,Approach,Small,Pacific golden-plover,Day,0,0,0,120.0
4236,NEWARK LIBERTY INTL ARPT,ATR-42,None,9/23/96 0:00,EXPRESSJET (CONTINENTAL EXPRS),New Jersey,Approach,Medium,Unknown bird - medium,Day,0,0,0,170.0
4237,PORTLAND INTL (OR),MD-83,None,9/23/96 0:00,ALASKA AIRLINES,Oregon,Approach,Medium,Red-tailed hawk,Day,0,0,0,
4238,GEORGE BUSH INTERCONTINENTAL,FOKKER F100,None,9/23/96 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
4239,MINNEAPOLIS-ST PAUL INTL,SA227 AC METRO III,None,9/24/96 0:00,MESABA AIRLINES,Minnesota,Climb,Medium,Unknown bird - medium,Night,0,0,0,190.0
4240,PHILADELPHIA INTL,A-320,None,9/25/96 0:00,UNITED AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
4241,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,9/25/96 0:00,AMERICAN AIRLINES,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,145.0
4242,NASHVILLE INTL,B-737-300,None,9/25/96 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,155.0
4243,EPPLEY AIRFIELD,B-737-300,None,9/26/96 0:00,SOUTHWEST AIRLINES,Nebraska,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
4244,LAGUARDIA NY,B-727-200,None,9/26/96 0:00,UNITED AIRLINES,New York,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
4245,WASHINGTON DULLES INTL ARPT,FOKKER F100,None,9/26/96 0:00,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
4246,LIHUE ARPT,DC-9-50,None,9/26/96 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Pacific golden-plover,Dusk,0,0,0,
4247,METRO OAKLAND INTL,B-737-300,None,9/27/96 0:00,SOUTHWEST AIRLINES,California,Landing Roll,Large,Turkey vulture,Day,0,0,0,80.0
4248,CHICAGO MIDWAY INTL ARPT,DC-9,Substantial,9/27/96 0:00,NORTHWEST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,
4249,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,Substantial,9/27/96 0:00,COMAIR AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,150.0
4250,HONOLULU INTL ARPT,C-5,None,9/28/96 0:00,MILITARY,Hawaii,Approach,Medium,Unknown bird or bat,Day,0,0,0,
4251,CHARLESTON AFB/INTL ARPT,KC-10A,None,9/28/96 0:00,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
4252,SACRAMENTO INTL,MD-80,None,9/28/96 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
4253,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CL-RJ100/200,None,9/28/96 0:00,COMAIR AIRLINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,215.0
4254,SEATTLE-TACOMA INTL,B-737-300,Substantial,9/29/96 0:00,SOUTHWEST AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
4255,DENVER INTL AIRPORT,B-727,None,9/29/96 0:00,DELTA AIR LINES,Colorado,Approach,Medium,Unknown bird - medium,Day,0,0,0,
4256,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,9/29/96 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
4257,PORTLAND INTL (OR),B-737-300,None,9/29/96 0:00,UNITED AIRLINES,Oregon,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
4258,NEWARK LIBERTY INTL ARPT,B-737-200,Substantial,9/30/96 0:00,DELTA AIR LINES,New Jersey,Approach,Large,Unknown bird - large,Night,0,0,0,250.0
4259,LOUISVILLE INTL ARPT,B-737,None,9/30/96 0:00,SOUTHWEST AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,120.0
4260,ORLANDO INTL,B-737-300,None,9/30/96 0:00,SOUTHWEST AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,160.0
4261,SACRAMENTO INTL,B-737,None,9/30/96 0:00,AMERICA WEST AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
4262,DALLAS/FORT WORTH INTL ARPT,MD-82,None,9/30/96 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
4263,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737-200,None,9/30/96 0:00,DELTA AIR LINES,Kentucky,Climb,Small,European starling,Dusk,0,0,0,140.0
4264,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,Minor,10/1/96 0:00,US AIRWAYS*,North Carolina,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0
4265,LIHUE ARPT,B-737-200,None,10/1/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,80.0
4266,PORTLAND INTL (OR),B-757-200,Minor,10/1/96 0:00,UPS AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
4267,SACRAMENTO INTL,B-737-300,None,10/1/96 0:00,SOUTHWEST AIRLINES,California,Climb,Small,Unknown bird - small,Night,0,0,0,250.0
4268,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,10/2/96 0:00,DELTA AIR LINES,Texas,Climb,Large,Unknown bird - large,Day,0,0,0,210.0
4269,WILL ROGERS WORLD ARPT,KC-135R,None,10/2/96 0:00,MILITARY,Oklahoma,Approach,Medium,Unknown bird - medium,Night,0,0,0,120.0
4270,DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,10/2/96 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
4271,LIHUE ARPT,B-737-200,None,10/2/96 0:00,ALOHA AIRLINES,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,137.0
4272,LOUISVILLE INTL ARPT,B-747,None,10/3/96 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Day,0,0,0,110.0
4273,JOHN F KENNEDY INTL,B-767-300,Minor,10/3/96 0:00,AMERICAN AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
4274,WASHINGTON DULLES INTL ARPT,BE-1900,None,10/3/96 0:00,EXPRESSJET (CONTINENTAL EXPRS),DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
4275,CHARLESTON AFB/INTL ARPT,C-141,None,10/3/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,
4276,CHARLESTON AFB/INTL ARPT,C-141,None,10/3/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
4277,CHARLESTON AFB/INTL ARPT,C-17A,None,10/3/96 0:00,MILITARY,South Carolina,Climb,Medium,Unknown bird or bat,Night,0,0,0,125.0
4278,ATLANTA INTL,DC-9-30,None,10/3/96 0:00,ABX AIR,Georgia,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,120.0
4279,JOHN F KENNEDY INTL,SAAB-340,None,10/3/96 0:00,AMERICAN EAGLE AIRLINES,New York,Climb,Small,Tree swallow,Day,0,0,0,
4280,LIHUE ARPT,B-737-200,None,10/3/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
4281,WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,10/3/96 0:00,ATLANTIC COAST AIRLINES,DC,Descent,Small,Unknown bird - small,Night,0,0,0,200.0
4282,CHARLOTTE/DOUGLAS INTL ARPT,ATR-72,None,10/3/96 0:00,ATLANTIC SOUTHEAST,North Carolina,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
4283,CHARLESTON AFB/INTL ARPT,C-141,None,10/4/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
4284,GREATER PITTSBURGH,DC-9-30,None,10/4/96 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Dawn,0,0,0,140.0
4285,LIHUE ARPT,B-737-200,None,10/4/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Pacific golden-plover,Day,0,0,0,
4286,LOS ANGELES INTL,B-737,None,10/4/96 0:00,SOUTHWEST AIRLINES,California,Take-off run,Small,Rock pigeon,Day,0,0,0,80.0
4287,LAGUARDIA NY,B-727,Substantial,10/5/96 0:00,DELTA AIR LINES,New York,Climb,Medium,Unknown bird - medium,Day,0,0,0,
4288,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,SAAB-340,None,10/5/96 0:00,COMAIR AIRLINES,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,235.0
4289,ORLANDO INTL,MD-80,None,10/6/96 0:00,CONTINENTAL AIRLINES,Florida,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
4290,ORLANDO INTL,B-757-200,None,10/6/96 0:00,UNITED AIRLINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
4291,SACRAMENTO INTL,BA-31 JETSTR,None,10/7/96 0:00,TRANS STATES AIRLINES,California,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,130.0
4292,DETROIT METRO WAYNE COUNTY ARPT,B-737-300,None,10/7/96 0:00,SOUTHWEST AIRLINES,Michigan,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
4293,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/7/96 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,150.0
4294,MEMPHIS INTL,SAAB-340,Substantial,10/8/96 0:00,PINNACLE,Tennessee,Climb,Large,Unknown bird - large,Night,0,0,0,180.0
4295,SEATTLE-TACOMA INTL,FOKKER F28 MK 1000,None,10/8/96 0:00,HORIZON AIR,Washington,Descent,Large,Unknown bird - large,Night,0,0,0,250.0
4296,SEATTLE-TACOMA INTL,MD-82,None,10/8/96 0:00,ALASKA AIRLINES,Washington,Climb,Small,Unknown bird - small,Day,0,0,0,
4297,CHARLOTTE/DOUGLAS INTL ARPT,DHC8 DASH 8,Substantial,10/9/96 0:00,PIEDMONT AIRLINES,North Carolina,Approach,Large,Canada goose,Dusk,0,0,0,110.0
4298,ORLANDO INTL,MD-80,Medium,10/9/96 0:00,US AIRWAYS*,Florida,Approach,Large,Unknown bird - large,Night,0,0,0,
4299,SACRAMENTO INTL,FOKKER F28 MK 1000,None,10/9/96 0:00,HORIZON AIR,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,
4300,LAMBERT-ST LOUIS INTL,B-737-500,Minor,10/9/96 0:00,SOUTHWEST AIRLINES,Missouri,Climb,Medium,Unknown bird - medium,Night,0,0,0,210.0
4301,SAN ANTONIO INTL,MD-82,None,10/9/96 0:00,AMERICAN AIRLINES,Texas,Take-off run,Small,Unknown bird - small,Dawn,0,0,0,120.0
4302,ORLANDO INTL,MD-82,None,10/9/96 0:00,AMERICAN AIRLINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,125.0
4303,CHARLESTON AFB/INTL ARPT,C-17A,None,10/10/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,160.0
4304,CHARLESTON AFB/INTL ARPT,C-141,None,10/10/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,180.0
4305,ATLANTA INTL,MD-88,None,10/10/96 0:00,DELTA AIR LINES,Georgia,Approach,Medium,Unknown bird - medium,Night,0,0,0,150.0
4306,WILL ROGERS WORLD ARPT,DC-9-30,None,10/10/96 0:00,ABX AIR,Oklahoma,Approach,Medium,Unknown bird - medium,Night,0,0,0,
4307,CHARLESTON AFB/INTL ARPT,C-17A,None,10/10/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
4308,HONOLULU INTL ARPT,C-141,None,10/11/96 0:00,MILITARY,Hawaii,Approach,Medium,Unknown bird - medium,Day,0,0,0,128.0
4309,PORTLAND INTL (OR),B-737-300,None,10/11/96 0:00,UNITED AIRLINES,Oregon,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
4310,CHARLESTON AFB/INTL ARPT,C-17A,None,10/11/96 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,230.0
4311,ATLANTIC CITY INTL,LOCKHEED 1329,None,10/12/96 0:00,BUSINESS,New Jersey,Approach,Large,Unknown bird - large,Night,0,0,0,200.0
4312,LIHUE ARPT,DC-9-50,None,10/12/96 0:00,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
4313,SALT LAKE CITY INTL,B-737-300,Minor,10/13/96 0:00,SOUTHWEST AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Night,0,0,0,190.0
4314,LIHUE ARPT,B-737-200,None,10/13/96 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Small,Pacific golden-plover,Day,0,0,0,110.0
4315,WASHINGTON DULLES INTL ARPT,B-737-300,None,10/13/96 0:00,US AIRWAYS*,DC,Approach,Small,Unknown bird - small,Night,0,0,0,145.0
4316,LIHUE ARPT,DC-9-50,None,10/14/96 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
4317,LOGAN INTL,MD-80,None,10/15/96 0:00,AMERICAN AIRLINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
4318,HONOLULU INTL ARPT,C-141B,None,10/16/96 0:00,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,128.0
4319,GREATER PITTSBURGH,MD-80,None,10/16/96 0:00,US AIRWAYS*,Pennsylvania,Landing Roll,Small,Rock pigeon,Day,0,0,0,120.0
4320,RONALD REAGAN WASHINGTON NATL,MD-80,None,10/17/96 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,
4321,DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/17/96 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,250.0
4322,BARKSDALE AIR FORCE BASE ARPT,B-52H,None,10/17/96 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,160.0
4323,DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/17/96 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Night,0,0,0,200.0
4324,LAGUARDIA NY,B-757-200,None,10/17/96 0:00,NORTHWEST AIRLINES,New York,Descent,Medium,Unknown bird - medium,Night,0,0,0,
4325,RONALD REAGAN WASHINGTON NATL,MD-82,None,10/17/96 0:00,AMERICAN AIRLINES,DC,Landing Roll,Small,Unknown bird - small,Day,0,0,0,100.0
4326,PHILADELPHIA INTL,B-737-300,None,10/17/96 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,
4327,MEMPHIS INTL,A-310,Substantial,10/18/96 0:00,FEDEX EXPRESS,Tennessee,Climb,Large,Canada goose,Night,0,0,0,165.0
4328,HONOLULU INTL ARPT,KC-10A,None,10/18/96 0:00,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,
4329,NASHVILLE INTL,B-727-200,None,10/18/96 0:00,AMERICAN AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,150.0
4330,WASHINGTON DULLES INTL ARPT,B-727-200,None,10/18/96 0:00,UNITED AIRLINES,DC,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
