,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
1556,CHARLOTTE/DOUGLAS INTL ARPT,B-737-300,None,10/5/92 0:00,US AIRWAYS*,North Carolina,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
1557,NASHVILLE INTL,B-737-300,None,10/5/92 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Night,0,0,0,140.0
1558,SALT LAKE CITY INTL,DC-8,None,10/5/92 0:00,UPS AIRLINES,Utah,Descent,Medium,Unknown bird - medium,Night,0,0,0,
1559,DALLAS/FORT WORTH INTL ARPT,MD-82,None,10/5/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
1560,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,None,10/5/92 0:00,COMAIR AIRLINES,Kentucky,Take-off run,Small,Rock pigeon,Day,0,0,0,100.0
1561,GREATER PITTSBURGH,MD-82,None,10/5/92 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Night,0,0,0,
1562,METRO OAKLAND INTL,DC-8-61,None,10/6/92 0:00,ABX AIR,California,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,
1563,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,10/6/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,100.0
1564,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/6/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,160.0
1565,JOHN F KENNEDY INTL,L-1011,None,10/6/92 0:00,TRANS WORLD AIRLINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,
1566,SALT LAKE CITY INTL,DC-8-70,None,10/6/92 0:00,UPS AIRLINES,Utah,Descent,Medium,Unknown bird - medium,Night,0,0,0,250.0
1567,NASHVILLE INTL,B-737-200,None,10/6/92 0:00,SOUTHWEST AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
1568,CHARLESTON AFB/INTL ARPT,C-141B,None,10/7/92 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,180.0
1569,GREATER PITTSBURGH,B-737-300,None,10/8/92 0:00,US AIRWAYS*,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,
1570,DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,10/8/92 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
1571,LOS ANGELES INTL,B-727,None,10/8/92 0:00,UNITED AIRLINES,California,Landing Roll,Small,Mourning dove,Day,0,0,0,135.0
1572,SAN ANTONIO INTL,B-727-200,None,10/8/92 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,280.0
1573,HONOLULU INTL ARPT,B-737-200,Minor,10/9/92 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Medium,Unknown bird - medium,Dawn,0,1650,1650,110.0
1574,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,MD-88,None,10/9/92 0:00,DELTA AIR LINES,Kentucky,Climb,Small,Unknown bird - small,Day,0,0,0,100.0
1575,ATLANTA INTL,B-727-200,None,10/9/92 0:00,AMERICAN AIRLINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1576,MINNEAPOLIS-ST PAUL INTL,MD-82,None,10/9/92 0:00,AMERICAN AIRLINES,Minnesota,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1577,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,10/10/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
1578,DALLAS/FORT WORTH INTL ARPT,MD-80,None,10/11/92 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Night,0,0,0,
1579,DALLAS/FORT WORTH INTL ARPT,DC-10-10,None,10/11/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dawn,0,0,0,136.0
1580,CHICAGO O'HARE INTL ARPT,B-727,None,10/11/92 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1581,NASHVILLE INTL,MD-80,None,10/11/92 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,200.0
1582,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,B-737,None,10/12/92 0:00,DELTA AIR LINES,Kentucky,Take-off run,Small,European starling,Day,0,0,0,100.0
1583,SAN ANTONIO INTL,B-727-200,None,10/12/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,170.0
